kind,query_id,delta,proxy,qcan-bleu-strict,bleu
wins,db25_WSE_db25:31-en,-0.9820066153748802,1.0,1.0,0.017993384625119804
wins,db25_WSE_db25:26-es,-0.981382365102909,1.0,1.0,0.018617634897091045
wins,db25_WSE_db25:79-es,-0.9810527907490556,1.0,1.0,0.018947209250944407
wins,db25_WSE_db25:97-es,-0.9808466747442665,1.0,1.0,0.01915332525573354
wins,db25_WSE_db25:85-es,-0.9803552892440159,1.0,1.0,0.019644710755984045
fails,db25_WSE_db25:50-es,0.9725686897641428,0.0,1.0,0.027431310235857216
fails,db25_WSE_db25:8-en,0.9720271034189166,0.0,1.0,0.02797289658108333
fails,db25_WSE_db25:8-es,0.9720271034189166,0.0,1.0,0.02797289658108333
fails,db25_WSE_db25:52-es,0.9688130492934296,0.0,1.0,0.031186950706570415
fails,db25_WSE_db25:52-en,0.9670411299392433,0.0,1.0,0.032958870060756665
